,Ratio of delays with adaptation over delays without adaptation,,,,,
Tract ID,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
6055201102,1.000,1.000,1.000,1.002,1.001,0.899
6059042103,0.000,0.000,0.000,0.000,0.000,0.000
6059042106,0.000,0.000,0.000,0.000,0.000,0.000
6059042108,0.000,0.000,0.000,0.000,0.000,0.000
6059042201,1.000,1.000,1.000,1.022,1.008,0.737
6059042310,1.000,1.000,1.000,1.022,1.008,0.737
6059042313,1.000,1.000,1.000,1.022,1.008,0.737
6059062604,1.000,1.000,1.000,0.967,0.456,0.022
6059062605,1.000,1.000,1.000,1.000,1.000,0.737
6059062610,1.000,1.000,1.000,0.982,0.467,0.018
6059062614,1.000,1.000,1.000,0.967,0.456,0.024
6059062619,1.000,1.000,1.000,1.000,1.000,0.737
6059062632,1.000,1.000,1.000,1.022,1.008,0.737
6059062702,1.000,1.000,1.000,0.967,0.455,0.019
6059062800,1.000,1.000,1.000,0.982,0.470,0.020
6059062900,1.000,1.000,1.000,0.982,0.471,0.021
6059063004,1.000,1.000,1.000,0.981,0.470,0.021
6059063005,1.000,1.000,1.000,0.978,0.464,0.021
6059063006,1.000,1.000,1.000,0.975,0.462,0.024
6059063007,1.000,1.000,1.000,0.976,0.457,0.020
6059063009,1.000,1.000,1.000,0.982,0.470,0.020
6059063010,1.000,1.000,1.000,0.982,0.470,0.020
6059063500,1.000,1.000,1.000,0.982,0.470,0.020
6059063601,1.000,1.000,1.000,0.982,0.473,0.022
6059063603,1.000,1.000,1.000,0.982,0.476,0.022
6059063803,1.000,1.000,1.000,0.985,0.476,0.021
6059099214,1.000,1.000,0.999,0.990,0.490,0.021
6059099215,1.000,1.000,0.999,0.991,0.489,0.021
6059099217,1.000,1.000,0.999,0.984,0.476,0.021
6059099220,1.000,1.000,0.999,0.983,0.475,0.020
6059099231,1.000,1.000,0.999,0.990,0.489,0.021
6059099237,1.000,1.000,0.999,0.987,0.481,0.020
6059099238,1.000,1.000,0.999,0.984,0.476,0.019
6059099239,1.000,1.000,0.999,0.984,0.476,0.021
6059099240,1.000,1.000,1.000,0.984,0.476,0.021
6059099243,1.000,1.000,0.999,0.990,0.490,0.021
6059099244,1.000,1.000,0.999,0.991,0.489,0.021
6059099245,1.000,1.000,0.999,0.991,0.489,0.021
6059099246,1.000,1.000,0.999,0.990,0.491,0.021
6059099307,1.000,1.000,0.999,0.991,0.489,0.021
6059099308,1.000,1.000,0.999,0.990,0.485,0.021
6059099310,1.000,1.000,0.999,0.990,0.489,0.021
6059099311,1.000,1.000,0.999,0.990,0.490,0.021
6059099402,1.000,1.000,0.999,0.989,0.482,0.020
6059099404,1.000,1.000,0.999,0.990,0.484,0.021
6059099405,1.000,1.000,0.999,0.989,0.477,0.017
6059099406,1.000,1.000,0.999,0.990,0.484,0.019
6059099407,1.000,1.000,0.999,0.990,0.485,0.018
6059099408,1.000,1.000,0.999,0.991,0.487,0.019
6059099412,1.000,1.000,0.999,0.990,0.485,0.021
6059099413,1.000,1.000,0.999,0.989,0.483,0.021
6059099415,1.000,1.000,0.999,0.990,0.485,0.021
6059099416,1.000,1.000,0.998,0.991,0.491,0.021
6059099417,1.000,1.000,0.999,0.990,0.487,0.018
6059099502,1.000,1.000,0.999,0.989,0.487,0.020
6059099504,1.000,1.000,0.998,0.989,0.491,0.021
6059099506,1.000,1.000,0.998,0.988,0.489,0.021
6059099508,1.000,1.000,0.998,0.990,0.487,0.018
6059099509,1.000,1.000,0.997,0.988,0.483,0.015
6059099510,1.000,1.000,0.997,0.990,0.488,0.017
6059099511,1.000,1.000,0.998,0.993,0.499,0.022
6059099512,1.000,1.000,0.997,0.988,0.498,0.019
6059099513,1.000,1.000,0.998,0.989,0.488,0.021
6059099514,1.000,1.000,0.998,0.990,0.489,0.020
