Census Block,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
60014403043,NA,NA,100%,100%,100%,100%
60014403051,NA,NA,100%,100%,100%,100%
60014403052,NA,NA,100%,100%,100%,100%
60014403053,NA,NA,100%,100%,100%,100%
60014403061,NA,NA,NA,NA,100%,100%
60014403062,NA,NA,NA,100%,100%,100%
60014403311,NA,NA,NA,65%,88%,89%
60014403312,NA,NA,NA,100%,100%,100%
60014403321,NA,50%,50%,50%,NA,0%
60014403322,NA,NA,NA,53%,65%,55%
60014403331,NA,NA,NA,9%,36%,44%
60014403332,NA,NA,NA,NA,NA,100%
60014403341,NA,NA,NA,NA,NA,100%
60014415011,NA,NA,NA,100%,100%,100%
60014415012,NA,NA,NA,54%,78%,79%
60014415031,NA,NA,NA,63%,79%,78%
60014443011,NA,NA,NA,NA,100%,100%
60014443012,NA,NA,NA,NA,46%,57%
60014443021,NA,NA,NA,NA,NA,100%
60014443022,NA,NA,NA,38%,54%,56%
60014446022,NA,NA,NA,46%,75%,76%
60014511013,100%,100%,100%,100%,100%,100%
60019819001,NA,NA,NA,47%,75%,73%
60019820001,NA,NA,NA,97%,97%,94%
60019832001,NA,NA,NA,29%,67%,70%
60133010001,24%,46%,54%,55%,56%,57%
60133010002,100%,100%,100%,100%,100%,100%
60133010003,100%,100%,100%,100%,100%,100%
60133020061,NA,NA,7%,16%,31%,34%
60133020062,NA,NA,NA,6%,13%,18%
60133020081,NA,NA,9%,41%,60%,63%
60133031031,NA,NA,NA,100%,100%,100%
60133040021,100%,100%,100%,100%,100%,100%
60133040031,NA,NA,NA,NA,NA,NA
60133040032,NA,NA,NA,NA,NA,NA
60133040033,NA,NA,NA,NA,NA,NA
60133040041,NA,NA,NA,NA,NA,NA
60133040042,NA,NA,NA,NA,NA,NA
60133040051,73%,19%,34%,38%,35%,44%
60133040052,100%,100%,100%,100%,100%,100%
60133050001,NA,NA,NA,NA,NA,NA
60133050003,NA,NA,NA,12%,10%,16%
60133050005,NA,NA,NA,NA,NA,100%
60133060022,NA,NA,NA,4%,70%,85%
60133060041,NA,NA,NA,52%,88%,83%
60133060042,NA,NA,NA,NA,NA,NA
60133090001,NA,NA,38%,69%,89%,87%
60133090002,NA,NA,2%,5%,8%,17%
60133100003,NA,NA,NA,54%,76%,74%
60133141021,NA,NA,22%,19%,11%,10%
60133141032,NA,NA,NA,NA,NA,NA
60133141033,NA,NA,NA,0%,11%,19%
60133142003,100%,89%,73%,69%,51%,42%
60133150001,NA,NA,16%,28%,34%,34%
60133160001,NA,NA,NA,18%,31%,37%
60133200011,NA,13%,45%,49%,51%,53%
60133200041,NA,NA,100%,75%,61%,58%
60133212001,NA,NA,NA,NA,NA,NA
60133270005,NA,NA,NA,NA,NA,NA
60133570001,NA,NA,NA,NA,NA,NA
60133570003,NA,NA,NA,NA,NA,NA
60133580004,NA,NA,NA,NA,NA,20%
60133580005,NA,NA,NA,NA,11%,23%
60133591031,NA,NA,100%,100%,100%,100%
60133591051,NA,NA,NA,43%,75%,70%
60133650021,NA,NA,NA,53%,70%,76%
60133650022,NA,NA,NA,NA,NA,100%
60133650023,NA,NA,NA,17%,61%,62%
60133770005,NA,NA,NA,NA,100%,100%
60133780001,NA,NA,24%,43%,55%,72%
60133780002,NA,NA,NA,24%,57%,63%
60133790003,NA,NA,NA,NA,NA,100%
60133790004,NA,NA,NA,100%,100%,100%
60133800001,NA,NA,NA,55%,81%,79%
60133800002,NA,NA,NA,1%,54%,55%
60133800003,NA,NA,NA,96%,98%,98%
60133820004,NA,NA,NA,NA,68%,69%
60133922002,NA,NA,NA,8%,68%,73%
60133922003,NA,NA,NA,NA,NA,NA
60133923001,NA,NA,NA,NA,NA,NA
60150001011,NA,NA,NA,NA,25%,24%
60150001021,NA,NA,25%,27%,76%,81%
60150001022,55%,79%,82%,88%,90%,93%
60150001051,NA,100%,100%,100%,100%,100%
60150001052,NA,100%,100%,100%,100%,100%
60150001053,NA,100%,100%,100%,100%,100%
60150002011,NA,NA,100%,100%,100%,100%
60150002013,100%,100%,100%,100%,100%,100%
60150002021,100%,100%,100%,100%,100%,100%
60150002022,NA,NA,100%,100%,100%,100%
60150002031,100%,100%,100%,100%,100%,100%
60230001001,NA,NA,NA,39%,58%,58%
60230002004,NA,NA,NA,9%,18%,20%
60230004001,NA,NA,NA,99%,99%,100%
60230004003,NA,NA,NA,6%,14%,20%
60230005001,NA,NA,NA,NA,NA,NA
60230005002,100%,100%,100%,53%,2%,4%
60230008001,NA,100%,100%,100%,100%,100%
60230008003,100%,94%,90%,91%,95%,94%
60230009002,100%,100%,100%,100%,100%,100%
60230009003,100%,100%,100%,100%,100%,100%
60230010004,68%,77%,84%,87%,96%,96%
60230010005,NA,NA,NA,7%,9%,19%
60230011013,NA,NA,NA,NA,NA,52%
60230013001,100%,100%,100%,100%,100%,100%
60230102001,100%,100%,100%,100%,100%,100%
60230104001,100%,100%,100%,100%,100%,100%
60230104002,100%,100%,100%,100%,100%,100%
60230105014,NA,NA,NA,33%,77%,82%
60230106001,NA,100%,100%,100%,100%,100%
60230106002,NA,NA,NA,NA,100%,100%
60230107001,NA,NA,100%,100%,100%,100%
60230107002,100%,100%,100%,100%,100%,100%
60230107003,NA,NA,NA,100%,100%,100%
60230107004,100%,100%,100%,100%,100%,100%
60230107005,NA,21%,7%,67%,78%,81%
60230108001,100%,100%,100%,100%,100%,100%
60230112002,NA,NA,NA,NA,NA,100%
60230112003,100%,100%,100%,100%,100%,100%
60230115002,NA,100%,100%,100%,100%,100%
60372627041,NA,NA,NA,NA,NA,NA
60372627061,NA,NA,NA,NA,NA,NA
60372628021,NA,NA,NA,NA,NA,NA
60372628022,NA,NA,NA,NA,NA,NA
60372733003,NA,NA,NA,NA,NA,100%
60372734021,NA,NA,NA,NA,NA,NA
60372734022,NA,NA,NA,NA,NA,NA
60372734023,NA,NA,NA,NA,NA,NA
60372734024,NA,NA,NA,NA,NA,NA
60372735021,NA,NA,NA,NA,NA,NA
60372735022,NA,NA,NA,NA,NA,NA
60372735023,NA,NA,100%,100%,100%,100%
60372735024,NA,NA,100%,100%,100%,100%
60372736002,NA,NA,NA,NA,NA,100%
60372738001,NA,NA,NA,100%,100%,100%
60372738002,NA,NA,NA,100%,100%,100%
60372738003,NA,NA,NA,100%,100%,100%
60372739021,NA,NA,100%,100%,100%,100%
60372739022,NA,NA,NA,NA,NA,NA
60372739023,NA,NA,NA,NA,NA,NA
60372739024,NA,NA,77%,77%,77%,77%
60372739025,NA,NA,NA,NA,NA,NA
60372741001,NA,NA,NA,NA,NA,100%
60372741002,NA,NA,100%,100%,100%,100%
60372742021,NA,NA,NA,NA,NA,NA
60372742022,NA,NA,NA,NA,NA,NA
60372742023,NA,NA,NA,NA,NA,NA
60372742024,NA,NA,NA,NA,NA,NA
60372751021,NA,NA,NA,NA,NA,NA
60372753022,NA,NA,NA,NA,NA,3%
60372755004,NA,NA,NA,NA,NA,NA
60372756021,NA,93%,94%,90%,83%,83%
60372756031,NA,NA,NA,NA,NA,NA
60372756032,NA,NA,NA,NA,NA,NA
60372756033,NA,NA,NA,NA,NA,91%
60372766011,NA,NA,80%,84%,86%,86%
60372781021,NA,NA,NA,NA,NA,NA
60372781022,NA,NA,NA,NA,NA,NA
60372947011,NA,NA,NA,100%,59%,39%
60372947012,NA,NA,NA,4%,44%,48%
60372948302,NA,NA,NA,NA,NA,100%
60372962101,NA,NA,NA,NA,100%,100%
60372976013,NA,NA,100%,100%,100%,100%
60375434003,NA,NA,NA,NA,NA,NA
60375722022,NA,NA,NA,NA,NA,NA
60375727001,NA,NA,NA,NA,NA,NA
60375728001,NA,NA,NA,NA,100%,100%
60375729001,NA,NA,NA,NA,NA,2%
60375729002,NA,NA,NA,NA,NA,100%
60375730031,NA,NA,NA,NA,NA,NA
60375731003,NA,NA,NA,NA,NA,NA
60375744004,NA,NA,NA,NA,NA,NA
60375745001,NA,NA,NA,NA,NA,NA
60375745002,NA,NA,NA,89%,89%,85%
60375745003,NA,NA,NA,47%,79%,79%
60375745004,NA,NA,NA,NA,NA,NA
60375746021,NA,NA,NA,25%,71%,71%
60375754011,NA,NA,52%,52%,67%,71%
60375755001,NA,NA,98%,96%,98%,98%
60375758011,NA,NA,100%,100%,100%,100%
60375759014,NA,NA,100%,100%,100%,100%
60375760011,NA,NA,NA,NA,NA,NA
60375760012,NA,NA,75%,77%,75%,73%
60375766011,NA,NA,NA,NA,NA,NA
60375766021,NA,NA,NA,NA,NA,NA
60375767002,NA,NA,NA,NA,NA,NA
60375772002,NA,NA,NA,NA,NA,NA
60375773001,NA,NA,NA,100%,100%,100%
60375773002,NA,NA,NA,NA,NA,100%
60375773003,NA,NA,NA,NA,NA,NA
60375773004,NA,NA,NA,100%,100%,100%
60375773005,NA,NA,NA,100%,100%,100%
60375773006,NA,NA,NA,NA,NA,NA
60375774002,NA,NA,NA,NA,100%,100%
60375774003,NA,NA,NA,100%,100%,100%
60375774004,NA,NA,NA,100%,100%,100%
60375775011,NA,NA,NA,100%,100%,100%
60375775012,NA,NA,NA,100%,100%,100%
60375775013,NA,NA,NA,100%,100%,100%
60375775041,NA,NA,NA,NA,NA,NA
60375775042,NA,NA,NA,NA,NA,NA
60375776022,NA,NA,NA,100%,100%,100%
60375776032,NA,NA,NA,99%,96%,94%
60375776033,NA,NA,NA,100%,100%,100%
60375776034,NA,NA,NA,NA,NA,1%
60375776035,NA,NA,NA,100%,100%,100%
60375776041,NA,NA,60%,73%,89%,88%
60375990001,NA,NA,NA,NA,NA,NA
60375991002,100%,100%,100%,100%,100%,100%
60376031023,NA,NA,NA,NA,NA,NA
60376202011,NA,NA,NA,NA,NA,NA
60376202012,NA,NA,NA,NA,NA,NA
60376203051,NA,NA,NA,NA,NA,NA
60376203054,NA,NA,NA,NA,NA,NA
60376203055,NA,NA,NA,NA,NA,NA
60376203056,NA,NA,NA,NA,NA,NA
60376203057,NA,NA,NA,NA,NA,NA
60376209041,NA,NA,NA,NA,NA,NA
60376209042,NA,NA,NA,NA,NA,NA
60376210021,NA,NA,NA,NA,NA,NA
60376210042,NA,NA,NA,NA,NA,NA
60376211042,NA,NA,NA,NA,NA,NA
60376212041,NA,NA,NA,NA,NA,NA
60376212042,NA,NA,NA,NA,NA,NA
60376213241,NA,NA,NA,NA,NA,NA
60376213261,NA,NA,NA,NA,NA,NA
60376513043,NA,NA,NA,NA,NA,NA
60376703243,NA,NA,NA,NA,NA,NA
60376703244,NA,NA,NA,NA,NA,NA
60377013043,NA,NA,NA,NA,NA,NA
60377014021,NA,NA,NA,NA,NA,NA
60377019023,NA,NA,NA,NA,NA,NA
60377020021,NA,NA,NA,NA,NA,NA
60377021021,NA,NA,NA,NA,NA,NA
60377029011,NA,NA,5%,18%,NA,NA
60377029012,100%,100%,100%,100%,100%,100%
60377029013,100%,100%,100%,100%,100%,100%
60377029014,100%,100%,100%,95%,87%,85%
60378004062,NA,NA,NA,NA,NA,NA
60378004082,NA,NA,NA,NA,NA,NA
60378004083,NA,NA,NA,NA,NA,NA
60378004084,NA,NA,NA,NA,NA,NA
60378005041,NA,NA,NA,NA,NA,0%
60378005062,NA,NA,NA,NA,NA,NA
60379800061,NA,NA,NA,NA,100%,100%
60379800071,NA,24%,37%,55%,59%,65%
60379800141,NA,NA,44%,75%,77%,79%
60379800151,NA,NA,100%,100%,100%,100%
60379800281,NA,NA,NA,NA,NA,NA
60379800301,NA,NA,NA,NA,NA,NA
60379800311,71%,73%,88%,89%,89%,90%
60379800331,0%,61%,85%,89%,91%,90%
60411011001,NA,NA,26%,40%,45%,43%
60411012001,NA,NA,11%,34%,19%,17%
60411021001,NA,NA,NA,100%,100%,100%
60411043001,NA,NA,NA,15%,23%,31%
60411050002,NA,NA,100%,51%,40%,51%
60411060013,NA,NA,NA,4%,4%,5%
60411060021,NA,100%,100%,100%,100%,100%
60411101002,NA,NA,NA,NA,NA,NA
60411101003,NA,NA,NA,NA,NA,NA
60411102001,NA,NA,NA,NA,NA,NA
60411102002,NA,NA,NA,NA,0%,1%
60411121001,NA,NA,NA,NA,NA,100%
60411122011,NA,NA,100%,100%,100%,100%
60411122012,NA,NA,NA,100%,100%,100%
60411122021,NA,NA,95%,93%,92%,93%
60411122022,NA,NA,NA,26%,76%,77%
60411191003,NA,NA,NA,NA,NA,NA
60411192012,NA,NA,NA,NA,NA,NA
60411192013,NA,NA,NA,NA,NA,NA
60411200001,NA,NA,NA,NA,5%,23%
60411200004,NA,NA,NA,NA,NA,NA
60411200005,NA,NA,NA,NA,20%,37%
60411211001,NA,NA,NA,100%,100%,96%
60411212001,NA,NA,NA,1%,1%,0%
60411212002,NA,NA,NA,NA,27%,33%
60411212003,NA,NA,NA,NA,NA,NA
60411230001,NA,NA,NA,NA,100%,100%
60411230002,NA,NA,NA,NA,NA,NA
