,Hours lost (hours / person / year),,,,,
Tract ID,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
6081606000,64,602,2203,4418,7499,9359
6081606100,78,736,2692,5398,9162,11435
6081606200,48,453,1658,3324,5642,7042
6081606300,87,822,3009,6034,10242,12782
6081606600,98,928,3396,6811,11561,14428
6081607500,69,649,2375,4763,8085,10091
6081607600,95,904,3309,6635,11262,14056
6081607701,86,817,2988,5993,10172,12695
6081607702,116,1104,4038,8097,13745,17154
6081607800,103,974,3564,7147,12131,15141
6081607900,117,1108,4055,8132,13803,17227
6081608001,102,964,3529,7077,12012,14992
6081608004,45,423,1549,3106,5272,6580
6081608013,93,878,3213,6443,10936,13649
6081608023,140,1323,4841,9707,16476,20563
6081608100,92,871,3186,6389,10844,13535
6081608200,92,868,3177,6371,10813,13496
6081608300,99,935,3422,6862,11648,14538
6081608400,58,549,2008,4027,6835,8531
6081608501,73,694,2538,5089,8638,10781
6081608502,133,1262,4618,9260,15719,19618
6081608600,84,800,2928,5871,9966,12438
6081609100,232,2193,8025,16092,27315,34090
6081610100,110,1040,3806,7632,12954,16167
6081610201,40,378,1382,2770,4702,5869
6081610202,92,876,3206,6429,10912,13619
6081610302,119,1125,4117,8256,14014,17490
6081610303,46,432,1580,3167,5376,6710
6081610304,83,790,2892,5799,9843,12285
6081610400,22,204,748,1500,2545,3177
6081610500,34,326,1193,2392,4060,5067
6081611600,18,173,632,1268,2153,2687
6081611700,31,291,1063,2132,3620,4517
6081611800,8,71,261,523,888,1109
6081611900,3,26,94,189,321,400
6081613501,80,755,2761,5537,9398,11730
6081613502,4,41,149,300,509,635
6081613600,4,42,155,310,526,657
6081613800,35,333,1218,2443,4146,5175
6083000804,0,2,5,9,16,20
6083001206,0,2,7,14,25,30
6083001208,0,2,7,13,23,27
6083001402,1,3,10,20,35,42
6083001604,0,0,0,0,0,0
6083001706,0,3,8,15,27,32
6083002502,0,0,0,0,0,0
6083002606,0,0,0,0,0,0
6083002915,0,0,0,0,0,0
6083002922,0,0,0,0,0,0
6083002928,0,0,0,0,0,0
6083002932,0,0,0,0,0,0
6083003001,0,0,0,0,0,0
6083003007,0,3,8,15,27,32
6083003102,0,0,0,0,0,0
6083980000,0,0,0,0,0,0
6085504413,21,202,747,1529,2622,3279
6085504414,7,68,253,518,888,1110
6085504506,7,64,237,486,833,1042
6085504507,8,72,266,546,936,1170
6085504601,75,717,2647,5419,9290,11617
6085504602,34,326,1204,2465,4227,5285
6085504700,113,1082,3996,8180,14024,17537
6085504802,10,92,338,692,1186,1484
6085504805,7,71,262,537,920,1151
6085504901,5,47,173,353,606,758
6085505001,5,51,189,387,663,829
6085505006,5,47,173,355,609,761
6085505007,12,111,410,838,1438,1798
6085505008,7,65,242,495,848,1061
6085505009,5,46,169,346,593,742
6085509304,11,102,377,772,1322,1654
6085510801,5,48,179,366,627,784
6085511000,4,40,147,301,516,646
6085511100,5,46,168,344,590,738
6087100200,0,2,7,15,26,30
6087100700,1,6,21,44,75,89
6087100800,0,2,6,12,20,24
6087100900,0,3,10,21,37,44
6087101000,0,2,5,11,18,22
6087110400,0,2,8,16,27,32
6087121500,0,2,8,17,29,34
6087121600,0,2,7,14,24,29
6087121800,0,3,10,21,36,42
6087122100,1,4,14,30,51,61
6087122201,0,3,9,18,31,36
6087122300,1,5,18,37,64,76
6095250502,2,22,86,169,272,330
6095250604,2,20,79,154,248,300
6095250605,1,19,76,148,239,289
6095250701,2,21,81,160,257,311
6095250801,1,18,69,136,218,264
6095250900,2,23,90,177,285,345
6095251000,2,24,94,185,298,361
6095251100,2,23,91,179,288,349
6095251600,2,22,87,171,275,333
6095251701,1,17,66,130,209,253
6095251802,2,24,92,181,291,353
6095251803,1,12,47,92,148,179
6095251804,1,15,60,118,190,231
6095252000,1,16,61,119,191,231
6095252102,2,25,100,195,309,373
6095252202,2,27,106,207,331,400
6095252305,3,41,160,312,498,601
6095252402,3,36,143,280,445,538
6095252501,5,71,280,547,872,1054
6095252502,7,96,378,740,1178,1424
6095252607,4,48,187,367,584,706
6095252702,3,41,161,315,502,607
6095252703,4,48,189,369,588,711
6095252704,3,38,149,291,464,561
6095252705,2,31,121,238,381,461
6095253300,3,42,163,319,512,620
6095253500,2,21,81,159,254,307
6097150100,2,18,62,125,213,255
6097150601,0,3,10,19,33,40
6097150612,1,10,33,66,113,135
6097150701,0,2,8,17,29,34
6097153502,0,0,1,1,3,3
6097153703,0,1,4,9,15,18
6097154302,0,1,5,10,17,21
6097154303,0,0,0,0,0,0
6097154304,0,2,7,13,23,27
6111001206,1,5,11,8,0,0
6111002400,0,3,7,10,13,16
6111002500,1,8,25,47,81,98
6111002600,0,2,6,9,12,14
6111002800,2,8,25,48,84,102
6111002905,2,12,35,68,119,144
6111003609,2,11,34,66,114,138
6111003612,0,2,6,12,22,27
6111004304,2,10,31,62,109,132
6111004305,5,28,85,171,300,365
6111004400,1,7,22,45,79,95
6111004600,2,11,33,65,115,139
6111004715,2,11,34,69,121,147
6111005600,1,5,16,33,58,70
6111007300,1,5,14,28,50,61
6113010102,0,0,0,0,0,0
6113010203,0,0,0,0,0,0
6113010302,0,0,0,0,0,0
6113010310,0,0,0,0,0,0
6113010401,0,0,0,0,0,0
6113010402,0,0,0,0,0,0
6113011206,0,0,0,0,0,0
9001010202,7,29,65,92,124,145
9001010400,0,0,0,0,0,0
9001010800,10,41,92,132,177,207
9001011000,7,28,63,90,122,142
